Name	Package	Description
AzureCLI	azure-cli	Azure CLI
DotNet	^dotnet-.*	.Net
Firefox	firefox	Mozilla Firefox browser
GoogleChrome	google-chrome-stable	Google Chrome browser
GoogleCloudSDK	google-cloud-sdk	Google Cloud SDK
LLVM	^llvm-.*	LLVM
MongoDB	^mongodb-.*	MongoDB
Mono	mono-devel	Mono
MySQL	^mysql-.*	MySQL
OpenGLDRI	libgl1-mesa-dri	OpenGL API DRI modules
PHP	php.*	PHP
